"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";"Пижамы женские";;;"м445 (01009898926)";"м445 Пижама «Шалунья» (молочный)";730;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кашкорсе-лапша";https://ivanushka-trikotazh.ru/upload/iblock/71f/2spbios4orxir3rusjmpa7al2qx4qztm.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m445-pizhama-shalunya-molochnyy/;01009898926;м445;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"м445 (01238218167)";"м445 Пижама «Шалунья» (белый)";730;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кашкорсе-лапша";https://ivanushka-trikotazh.ru/upload/iblock/890/iv379gjexl2aa2t7jbkhgiqizq23ljg8.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m445-pizhama-shalunya-belyy/;01238218167;м445;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Пижамы женские";;;"м443 (0130091716)";"м443 Пижама «Каролина» (серый)";710;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/4bc/7zhdxjbp4f5hln1pgktxrszjcxrqek11.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m443-pizhama-karolina-seryy/;0130091716;м443;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Пижамы женские";;;"м137 (423093303)";"м137 Пижама «Берта» розовый/какао";730;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/c6f/i0w2w4zct38aiqp80o1qxcba895odwmz.JPG;;;;https://ivanushka-trikotazh.ru/catalog/pizhami/m137-pizhama-berta-rozovyy-kakao/;423093303;м137;50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м443 (0579638872)";"м443 Пижама «Каролина» (розовый)";710;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/bc6/c3667gb4g7rh200l5b6l79v1jgojtaln.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m-443-pizhama-karolina-rozovyy/;0579638872;м443;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м444 (980889648)";"м444 Костюм «Кира» (полоса)";1200;RUB;"В наличии";"Ткань: Вискоза 92%, п/у 8%
Ткань: Вискоза";https://ivanushka-trikotazh.ru/upload/iblock/378/z2a1znj4qvdkqiis6ws0ehdezmf09gmy.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/kostyum-kira-polosa/;980889648;м444;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Большие размеры";;;"х33а (0841608657)";"Х33а халат Лена (синие цветы)";950;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/892/kpwlovaen7q8fgkc8ngvi0d63ti7650a.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/kh33a-khalat-lena-sinie-tsvety/;0841608657;х33а;62/64/66/68/70/72
"Домашняя одежда и текстиль";"Большие размеры";;;"м320 (02038258134)";"М320 костюм Дачник (цветы на синем)";880;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/849/djbpxfep06r63ao7feekyga2523oe4kr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m320-kostyum-dachnik-tsvety-na-sinem/;02038258134;м320;48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Большие размеры";;;"м320 (1033899901)";"М320 костюм Дачник (леопард)";880;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/05e/yfv8w1xy685bozt1v4au0lmdzt3tg02x.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m320-kostyum-dachnik-leopard/;1033899901;м320;48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Большие размеры";;;"м320 (0764599070)";"М320 костюм Дачник (абстракция)";880;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/ede/8multoboik1sbd6un6tyetgkxk58m9fo.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m320-kostyum-dachnik-abstraktsiya/;0764599070;м320;48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Большие размеры";;;"м438 (1754014158)";"М438 Футболка женская  оверсайз (красный винтаж)";650;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/717/e1rptl2z7iyufstyrv4g3saewaodejc5.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m438-futbolka-zhenskaya-oversayz-krasnyy-vintazh/;1754014158;м438;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"м438 (1459268141)";"М438 Футболка оверсайз (индиго винтаж)";650;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/afd/oyqanztbh72bnjw8p35htwctl38pnt6e.JPG;;;;https://ivanushka-trikotazh.ru/catalog/men/m438-futbolka-oversayz-indigo-vintazh/;1459268141;м438;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"м438 (892525656)";"М438 Футболка оверсайз (красный винтаж)";650;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/247/2rixpjufs56qcqz7z5qqjhpr9t5ppzsy.JPG;;;;https://ivanushka-trikotazh.ru/catalog/men/m438-futbolka-oversayz-krasnyy-vintazh/;892525656;м438;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"м439 (0905773138)";"М439 Футболка оверсайз (коричневый)";500;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/933/d4j061sz0yvlwmozc820k7a2al9jrjwl.JPG;;;;https://ivanushka-trikotazh.ru/catalog/men/m439-futbolka-oversayz-korichnevyy/;0905773138;м439;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Большие размеры";;;"м440 (0136284162)";"м440 Костюм мужской (бордо винтаж)";1240;RUB;"В наличии";"Ткань: Хлопок 74%, ПЭ 21%, ПУ 5%
Ткань: Футер двунитка с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/0d6/6r465880ccemirsyg0w9f29rpogzjaw4.JPG;;;;https://ivanushka-trikotazh.ru/catalog/big-size-women/m440-kostyum-muzhskoy-bordo-vintazh/;0136284162;м440;46/48/50/52/54/56
"Домашняя одежда и текстиль";"Одежда для мужчин";;;"м440 (1366050277)";"м440 Костюм мужской (петроль винтаж)";1240;RUB;"В наличии";"Ткань: Хлопок 74%, ПЭ 21%, ПУ 5%
Ткань: Футер двунитка с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/0f8/7q9j93y2jzymmdkgh3s4edj55ooht763.JPG;;;;https://ivanushka-trikotazh.ru/catalog/men/m440-kostyum-muzhskoy-petrol-vintazh/;1366050277;м440;46/48/50/52/54/56
