"Категория 1";"Категория 2";"Категория 3";"Категория 4";Артикул;Заголовок;Цена;Валюта;Наличие;Описание;Изображения;Вес;Габариты;Производитель;"Ссылка на товар";ID;"Артикул поставщика";Размер
"Домашняя одежда и текстиль";"Туники женские";;;"М327 (01027961493)";"М327 Туника Женская ""Лада"" (фрукты)";630;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/8ac/8ac9725c0064e7842740b9e9a64d122f.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tuniki/m327-tunika-lada-frukty/;01027961493;М327;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Туники женские";;;"М327 (2072759061)";"М327 Туника ""Лада"" (цветы)";630;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/348/3481801bb4c8f71cc59cca1dacc19380.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tuniki/m327-tunika-lada-tsvety/;2072759061;М327;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Туники женские";;;"м334 (0270740306)";"М334 Туника ""Алиса""";450;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/482/4826f2818a0883f5894c374f8ff8542a.jpg;;;;https://ivanushka-trikotazh.ru/catalog/tuniki/m334-tunika-alisa-kulirka-48-58/;0270740306;м334;48/50
"Домашняя одежда и текстиль";Рубашки;;;"м395 (0811823415)";"М395 Рубашка оверсайз флис   (светло-серый)";950;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/ca1/qnspi4t13a3sqs6zl34xded44y2qutcp.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m395-rubashka-oversayz-flis-svetlo-seryy/;0811823415;м395;44/46/48/50/52/54
"Домашняя одежда и текстиль";Рубашки;;;"м395 (0180902895)";"М395 Рубашка оверсайз флис   (черный леопард)";950;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/bf7/gz0kp6pfre2aoeq85486ix52w38p8ky2.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m395-rubashka-oversayz-flis-chernyy-leopard/;0180902895;м395;44/46/48/50/52/54
"Домашняя одежда и текстиль";Рубашки;;;"м395 (01466747335)";"М395 Рубашка оверсайз флис   (бежевый леопард)";950;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/c4f/m80p6n8b9qv780oc00097jl78wk9km5m.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m395-rubashka-oversayz-flis-bezhevyy-leopard/;01466747335;м395;44/46/48/50/52/54
"Домашняя одежда и текстиль";Рубашки;;;"м380 (0882503882)";"М380 Рубашка с длинным рукавом (розовая клетка)";900;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/64a/wdu1etmdweu1mce3bviayc66rez34zd0.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m380-rubashka-s-dlinnym-rukavom-rozovaya-kletka/;0882503882;м380;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Рубашки;;;"м377 (136641082)";"М377 Рубашка «Рандеву» (изумруд)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/3cc/sob95hpvjv5303t1z6muep6o4cu83260.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-izumrud/;136641082;м377;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Рубашки;;;"м395 (1580159154)";"М395 Рубашка оверсайз флис (белый)";950;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/238/cirm0sdksfcj7riphf26k5lsayjeixu6.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m395-rubashka-oversayz-flis-belyy/;1580159154;м395;52/54
"Домашняя одежда и текстиль";Рубашки;;;"м395 (283828751)";"М395 Рубашка оверсайз флис (красный)";950;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/e6f/svk5auu9u11i6xmgbu8yrsb1hghhqahr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m395-rubashka-oversays-flis-krasnyy/;283828751;м395;44/46/48/50/52/54
"Домашняя одежда и текстиль";Рубашки;;;"м395 (1044153534)";"М395 Рубашка оверсайз флис (серый)";950;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/eda/ry60frfxrx65h9p66xfjpkyizn5pplmx.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m395-rubashka-oversays-flis-seryy/;1044153534;м395;44/46/48/50/52/54
"Домашняя одежда и текстиль";Рубашки;;;"м395 (1556840702)";"М395 Рубашка оверсайз флис (синий)";950;RUB;"В наличии";"Ткань: Полиэстер 100%
Ткань: флис";https://ivanushka-trikotazh.ru/upload/iblock/0cf/py4hbqzxeibm0vbmoo3n2fwgajw5s5rk.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m395-rubashka-oversays-flis-siniy/;1556840702;м395;44/46/48/50/52/54
"Домашняя одежда и текстиль";Рубашки;;;"м377 (0100079139)";"М377 Рубашка «Рандеву» (синяя полоса)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/98f/hismuowdlc4efo95x14amef5s25rf3vq.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-sinyaya-polosa/;0100079139;м377;46/48/50/52
"Домашняя одежда и текстиль";Рубашки;;;"м377 (01879538506)";"М377 Рубашка «Рандеву» (синий)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/cad/f2dazj1p71t6gclv54ihrhrbktycz6go.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-siniy/;01879538506;м377;46/48
"Домашняя одежда и текстиль";Рубашки;;;"м380 (01228378013)";"М380 Рубашка с длинным рукавом (зелёный)";900;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/b09/y5nr0d87e313gxpmjfh94tip7x0imkff.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m380-rubashka-s-dlinnym-rukavom-zelyenyy/;01228378013;м380;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Рубашки;;;"м380 (085537123)";"М380 Рубашка с длинным рукавом (желтый)";900;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/659/xcbf3sxw1t2uphn0whp320mfia3kkc5n.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m380-rubashka-s-dlinnym-rukavom-zheltyy/;085537123;м380;46/48/58/60
"Домашняя одежда и текстиль";Рубашки;;;"м380 (0406039638)";"М380 Рубашка с длинным рукавом (ярко-красный)";900;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/c98/wp4p7lb2q6ocs989lrxjol1xv03fpf38.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m380-rubashka-s-dlinnym-rukavom-yarko-krasnyy/;0406039638;м380;46/48/50/52/54/56
"Домашняя одежда и текстиль";Рубашки;;;"м377 (259274658)";"М377 Рубашка «Рандеву» (ярко-красный)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/331/rov4lk0tfwhse3vyqetf0hf0bnfu3au0.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-yarko-krasnyy/;259274658;м377;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Рубашки;;;"м377 (1062650515)";"М377 Рубашка «Рандеву»(полоска)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/9db/fndbcv2lshyp2w35ny1ofunkg86t9x4e.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-poloska/;1062650515;м377;46/48
"Домашняя одежда и текстиль";Рубашки;;;"м377 (1842957551)";"М377 Рубашка «Рандеву»(темно-синий)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/4e2/uxlubpg3xeb82akmz0gnad1fqp7cpbaj.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-sinyaya-kletka/;1842957551;м377;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";Рубашки;;;"м377 (0511949072)";"М377 Рубашка «Рандеву» (светлая клетка)";680;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/17b/9fmxf8hf4hlsd8qneoh17ixup80dj8ak.JPG;;;;https://ivanushka-trikotazh.ru/catalog/rubashki/m377-rubashka-randevu-svetlaya-kletka/;0511949072;м377;46/48
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м437 (01104163227)";"М437 Костюм Амазонка (голубой)";750;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/5a0/3zac81a5ndbzjojyx3hh0m2fm4otja8z.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m437-kostyum-amazonka-goluboy/;01104163227;м437;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м437 (0777672777)";"М437 Костюм Амазонка (тёмный шоколад)";750;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/73e/4t5ssndp58jleci1s4expc8memcc6ist.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m437-kostyum-amazonka-tyemnyy-shokolad/;0777672777;м437;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м437 (1242638977)";"М437 Костюм Амазонка (коричневый)";750;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/d0a/peyaegug8qg7fo2khmq16csmwu6ledn2.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m437-kostyum-amazonka-korichnevyy/;1242638977;м437;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м437 (816410196)";"М437 Костюм Амазонка (индиго)";750;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/7b9/ss1806xd7l9s202iyw1iybqe9q4mxjnt.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m437-kostyum-amazonka-indigo/;816410196;м437;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м437 (834625045)";"М437 Костюм Амазонка (сердца на розовом)";750;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/ae6/ae7tynbu0x6s63xrb3bqzd16qf8bgf6l.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m437-kostyum-amazonka-serdtsa-na-rozovom/;834625045;м437;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м437 (528786080)";"М437 Костюм Амазонка (розовый)";750;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/005/85fgj8g3i1cpls2ttdr17jdjth9rhq26.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m437-kostyum-amazonka-rozovyy/;528786080;м437;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м425 (01427008563)";"М425 Толстовка Универ на молнии (белый)";1440;RUB;"В наличии";"Ткань: Хлопок 80%, п/э 20%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/44a/6fbsi9ub0lzzul1ktbxwrlc739rlm9fq.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m425-tolstovka-univer-na-molnii-belyy/;01427008563;м425;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м425 (0356828342)";"М425 Толстовка Универ на молнии (черный)";1440;RUB;"В наличии";"Ткань: Хлопок 80%, п/э 20%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/4e1/ksshzzb92sym2b6b1anukc3chdxuq1qb.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m425-tolstovka-univer-na-molnii-chernyy/;0356828342;м425;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м425 (1522287100)";"М425 Толстовка Универ на молнии (мята)";1440;RUB;"В наличии";"Ткань: Хлопок 80%, п/э 20%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/c02/a7pzvgy6ciw7x3rhc3jx83neve00xaut.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m425-tolstovka-univer-na-molnii-myata/;1522287100;м425;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м381 (880936714)";"М381 Костюм «Баффи» (салатовый)";1050;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/dfc/ssmjxz5b6zuitxh3aytox8xv8dk1s3lt.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m381-kostyum-baffi-salatovyy/;880936714;м381;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м320 (0250022853)";"М320 костюм Дачник (хаки)";860;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/981/i8ye7ryc7xv8tkhjmeoy74z4wxnq0wf4.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m320-kostyum-dachnik-khaki/;0250022853;м320;48/50/52/54/56/58/60/62
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м320 (0280070875)";"М320 костюм Дачник (индиго)";860;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/29e/8klq1cwtouo56bkdelb5z1hnd95jay2x.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m320-kostyum-dachnik-indigo/;0280070875;м320;48/50/56/58/60/62
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м410 (01572639095)";"М410 Костюм на молнии Регина (коричневый)";1630;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%; Хлопок 70%, ПЭ 25%, ПУ 5%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/cfd/82n3afkgi3iw8v93fnfcwg5pa0bb7dge.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m410-kostyum-na-molnii-regina-korichnevyy/;01572639095;м410;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м410 (1505560834)";"М410 Костюм на молнии Регина (розовый)";1630;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%; Хлопок 70%, ПЭ 25%, ПУ 5%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/f56/myofcmobawvjls63sj9702vfcqhjq0ga.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m410-kostyum-na-molnii-regina-rozovyy/;1505560834;м410;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м410 (772456332)";"М410 Костюм на молнии Регина (зеленый)";1630;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%; Хлопок 70%, ПЭ 25%, ПУ 5%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/80e/s4ppsm2xg7vnkunxqd4bjggt18tcydfp.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m410-kostyum-na-molnii-regina-zelenyy/;772456332;м410;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (0234126915)";"М77 Костюм Вита (тархун)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/f8d/q34os77vbb2tf3umy4iu306dhk86ik0c.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-tarkhun/;0234126915;м77;48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м381 (0481603817)";"М381 Костюм «Баффи» (какао)";1050;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/1b1/f55nh3u6nzpowlel7uybyvij3o74n1c6.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m381-kostyum-baffi-kakao/;0481603817;м381;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (0677211896)";"М77 Костюм Вита (грушевый)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/190/fs629ipcza8htsfr28rj3ezxvq5hl2y4.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-grushevyy/;0677211896;м77;44/46/48/50/52/54
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М400 (1019415099)";"М400 Костюм Вита-2 (черный)";1580;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/72c/h8cim8mori3l9qboknege1yf2m90gfy3.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m400-kostyum-vita-2-chernyy/;1019415099;М400;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М381 (042819977)";"М381 Костюм «Баффи» (лимонный)";1050;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/2c5/3iwnc9kv62zx77fpbz2m7wh8dqsuxrwg.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m381-kostyum-baffi-limonnyy/;042819977;М381;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м402 (2114509975)";"М402 Пижама Пикник (брюки+футболка)";870;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/82d/1yx3cs7kcgacqonuqfud8ye534r4yczw.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m402-kostyum-piknik-bryuki-futbolka/;2114509975;м402;44/46
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м400 (01887249005)";"М400 Костюм Вита-2 (индиго)";1580;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/4e8/4q8hyxs4nhb6luukapdbgtvjix8fabh0.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m400-kostyum-vita-2-indigo/;01887249005;м400;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м400 (01432414771)";"М400 Костюм Вита-2 (серый)";1580;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/2bf/oq78z2y7w0vwgsbqggudcv6lmb5u2eqr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m400-kostyum-vita-2-seryy/;01432414771;м400;44/46
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (0796596958)";"М77 Костюм Вита (фуксия)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/e6d/ranhdtrup9mq98x0mda3v2eilmzds6nn.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-fuksiya/;0796596958;м77;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м320 (01118117307)";"М320 Костюм Дачник (полоса)";740;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/9e0/zrwf5gqoadgpit7ofnp71jnenv6hy4mv.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m320-kostyum-dachnik-polosa/;01118117307;м320;48/50/56/58/60/62
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м320 (0222413616)";"М320 Костюм Дачник (цветы)";740;RUB;"В наличии";"Ткань: Хлопок 100%
Ткань: Кулирка";https://ivanushka-trikotazh.ru/upload/iblock/732/vvvfgdou238mn3n2wxukx4c3divr6fpk.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m320-kostyum-dachnik-tsvety/;0222413616;м320;48/50/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"М336 (1050972776)";"М336 Толстовка «Зимушка» (графит)";1370;RUB;"В наличии";"Ткань: Хлопок 80%, п/э 20%
Ткань: Футер трехнитка с начесом";https://ivanushka-trikotazh.ru/upload/iblock/7dd/8kuny4qg8fhfnmzneklc2dre1in6ygfr.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m336-tolstovka-zimushka-grafit/;1050972776;М336;46/48/50/52/54/56/58/60
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (1435962451)";"М77 Костюм Вита (нирвана)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/75f/tuqhqdw2yx26lunxhyqvwbu52t4u9mo8.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-nirvana/;1435962451;м77;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м343 (0419196531)";"М343 Костюм ""Олимпия"" без капюшона (сирень)";2270;RUB;"В наличии";"Ткань: Хлопок 80%, п/э 20%
Ткань: Футер";https://ivanushka-trikotazh.ru/upload/iblock/51e/09fftvlnlwyt2bnnjeg7es1qaq93m156.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m343-kostyum-olimpiya-bez-kapyushona-siren/;0419196531;м343;42/44
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (0684672548)";"М77 Костюм Вита (оливковый)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/f7a/4q6xkbgfgbp0djch5wmdocn5sx9iab06.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-olivkovyy/;0684672548;м77;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (01123142134)";"М77 Костюм Вита (пудра)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/850/n124cngxeufax8bo7e8c2nw7j9bz4klp.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-pudra/;01123142134;м77;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (861824181)";"М77 Костюм Вита (светло-коричневый)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/bdc/r49b6bzonnvd6bc4273604ae5gr84x7o.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-svetlo-korichnevyy/;861824181;м77;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м345 (1778567143)";"м345 Костюм ""Лика""(индиго)";2210;RUB;"В наличии";"Ткань: Хлопок 80%, п/э 20%
Ткань: Футер 3-х нитка с начесом";https://ivanushka-trikotazh.ru/upload/iblock/9f5/9447dfkoqr9qmncd57nm0h6q0k3tqnqf.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m345-kostyum-lika-indigo/;1778567143;м345;44/46/48/50/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (1003624924)";"М77 Костюм Вита (фиолетовый)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/942/wtu26tv5wavwbajdlqnkafh7bh5ilf6m.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-fioletovyy/;1003624924;м77;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (2141964794)";"М77 Костюм Вита (индиго)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/f11/cqscblkarhqm1je7nown7zgiqdq42od2.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-indigo/;2141964794;м77;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м381 (459079058)";"М381 Костюм «Баффи» (сухая роза)";1050;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/708/wk0y2h4rpp30gopx3v53uq19k5punxkf.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m381-kostyum-baffi-brusnichnyy/;459079058;м381;44/46/48/50/52/54/56/58
"Домашняя одежда и текстиль";"Толстовки и костюмы";;;"м77 (01471774140)";"М77 Костюм Вита (бордо)";1680;RUB;"В наличии";"Ткань: Хлопок 72%, п/э 20%, п/у 8%
Ткань: Футер с лайкрой";https://ivanushka-trikotazh.ru/upload/iblock/9d7/5untbyq1kc212v37qw333acqaz0d5bss.JPG;;;;https://ivanushka-trikotazh.ru/catalog/tolstovki-kostumi/m77-kostyum-vita-bordo/;01471774140;м77;48/50/52/54
